App ID,App Name,RandomID,Email,Paket,Buchungsdatum,native,iOS Audience,Android Audience,Gesamt Audience,Transaktionen,ModuleEmails,Neue Besucher,Wiederkehrende Besucher,Besucher Gesamt,Gesendete PN,Submission Service Apple,Submission Service Google,Submission Service Amazon,AppStore URL,Google Play URL,Last Publish Date,TEXT,MAP,COUPON,GALLERY,NEWSCENTER,EVENTS,CONTACT,SUBMENU,SUBMENU_SEPARATOR,RESERVATION,VIDEO,USER_MODULE,RESERVATION2,RESERVATION3,RESERVATION4,COLLECTION_PRODUCT,COLLECTION_MENU,COLLECTION_BRANCH,BUSINESS_HOURS,PDF,TABLE_RESERVATION,FORMS,EXTERNAL_SERVICE_APPOINTMENT,WEBSITE,EXTERNAL_SERVICE_REVIEW,STAMPCARD,Eingelöste Stempelkarten,Stempelkartennutzer,Insgesamt verteilte Stempel,Gesamt Nutzer
,,27984ed8-38c9-4e4e-b3ce-bb4bfcbadbcb,,,,,0,0,0,0,0,4,0,4,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,e175b719-1f4c-488a-ba1d-40b3670bf058,,,,,2,12,14,0,0,2,0,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,980e0eff-2b58-4336-b948-23959b025f3d,,,,,0,0,0,0,0,2,2,4,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,d3b30f5b-884f-41e8-9d06-0fb67361779f,,,,,0,0,0,0,0,0,2,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,da4ad7b4-5a2e-42a0-99b9-0a6cf223a7cc,,,,,3,0,3,0,0,2,0,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,303fbbdc-53d5-4822-a67e-f9ca59e1ac23,,,,,1,2,3,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3013cc4a-1445-4461-9387-f4d08cbd55fc,,,,,4,5,9,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,c6b0836f-d4a6-4588-8698-1cb97d3ec537,,,,,454,5578,6032,0,0,123,53,176,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1050984c-c601-4ab0-9aa4-372c25d4e912,,,,,12,2,14,0,0,2,2,4,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6328551b-cbbe-4a91-b9f2-8fdaed65217b,,,,,1,2,3,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8e525914-f344-49d5-879c-e7ca84406f2e,,,,,5,24,29,0,0,247,25,272,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47ad890a-1a87-48ec-8d2b-a2a71a9fcf51,,,,,12,25,37,0,0,2,0,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4f3663a6-8fc3-4879-8ba5-864b1f397e44,,,,,2,38,40,0,0,63,33,96,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,efcfa824-2311-4ea8-b302-f3dcbb3d90cc,,,,,3,27,30,0,0,223,131,354,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
