App ID,App Name,RandomID,Email,Paket,Buchungsdatum,native,iOS Audience,Android Audience,Gesamt Audience,Transaktionen,ModuleEmails,Neue Besucher,Wiederkehrende Besucher,Besucher Gesamt,Gesendete PN,Submission Service Apple,Submission Service Google,Submission Service Amazon,AppStore URL,Google Play URL,Last Publish Date,TEXT,MAP,COUPON,GALLERY,NEWSCENTER,EVENTS,CONTACT,SUBMENU,SUBMENU_SEPARATOR,RESERVATION,VIDEO,USER_MODULE,RESERVATION2,RESERVATION3,RESERVATION4,COLLECTION_PRODUCT,COLLECTION_MENU,COLLECTION_BRANCH,BUSINESS_HOURS,PDF,TABLE_RESERVATION,FORMS,EXTERNAL_SERVICE_APPOINTMENT,WEBSITE,EXTERNAL_SERVICE_REVIEW,STAMPCARD,Eingelöste Stempelkarten,Stempelkartennutzer,Insgesamt verteilte Stempel
,,c89a1586-b289-40e9-bf7f-eb4ac4fa7803,,,,,,,,,,,,,,,,,,,,2,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,9b0097a8-dd91-40d9-a41f-7f11eb09305d,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,
,,ed0c5f4c-6505-4692-8f24-19aec6eb9155,,,,,,,,,,,,,,,,,,,,11,1,0,1,1,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,487a21e2-26b1-47cc-ac0b-85e24a84ca91,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,
,,089c8a49-7298-4d7d-93f7-a635de98b461,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,,,
,,026c01d6-0c0c-41ea-a249-2a4e413d17a8,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,
,,b327a84c-d81f-4c00-bca9-7838d5edb5df,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,
,,fb7313bb-3df2-418f-beb1-a9b62bef4b7c,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,
,,03028d04-73bc-46d2-aa10-713a653b6c37,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,
,,e48c9dfc-d52f-49cd-b887-fa713628acf6,,,,,,,,,,,,,,,,,,,,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,
,,533a7147-e92f-4bd8-bd47-70319d63aae3,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,
,,c8014017-0340-4603-83eb-6513f3e07ab5,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,,
,,dee3f6c4-f46d-40eb-a656-1e292f345d50,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
